game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-06,26APR29HOULAL,LeBron James,LAL,HOU,1,COMBO,DD,0.0,0.01,0.329,21p/7r/7a,0.0,0.319,YES,0.1612,1.0,106.9,2,KXNBA2D-26APR29HOULAL-LALLJAMES23,2026-05-06
2026-05-06,26MAY05LALOKC,LeBron James,LAL,OKC,0,COMBO,DD,0.0,0.01,0.329,21p/7r/7a,0.0,0.319,YES,0.1612,1.0,108.8,2,KXNBA2D-26MAY05LALOKC-LALLJAMES23,2026-05-06
2026-05-06,26APR26CLETOR,Scottie Barnes,TOR,CLE,1,COMBO,TD,0.0,0.33,0.012,17p/3r/7a,0.0,0.318,NO,0.25,3.0,112.8,8,KXNBA3D-26APR26CLETOR-TORSBARNES4,2026-05-06
2026-05-06,26MAY02PHIBOS,Jayson Tatum,BOS,PHI,1,COMBO,DD,0.0,0.84,0.542,22p/11r/5a,0.0,0.298,NO,0.1774,4.0,105.9,8,KXNBA2D-26MAY02PHIBOS-BOSJTATUM0,2026-05-06
2026-05-06,26APR29ORLDET,Jalen Duren,DET,ORL,1,COMBO,DD,0.0,0.57,0.274,13p/9r/3a,0.0,0.296,NO,0.25,1.0,104.4,2,KXNBA2D-26APR29ORLDET-DETJDUREN0,2026-05-06
2026-05-06,26MAY02PHIBOS,Paul George,PHI,BOS,0,COMBO,DD,0.0,0.38,0.085,14p/4r/2a,0.0,0.295,NO,0.25,2.0,105.7,2,KXNBA2D-26MAY02PHIBOS-PHIPGEORGE8,2026-05-06
2026-05-06,26MAY05CLEDET,Cade Cunningham,DET,CLE,1,COMBO,DD,0.0,0.14,0.431,23p/4r/9a,0.0,0.291,YES,0.1692,1.0,112.8,2,KXNBA2D-26MAY05CLEDET-DETCCUNNINGHAM2,2026-05-06
2026-05-06,26MAY05CLEDET,James Harden,CLE,DET,0,COMBO,TD,0.0,0.31,0.02,20p/5r/5a,0.0,0.29,NO,0.25,1.0,101.6,2,KXNBA3D-26MAY05CLEDET-CLEJHARDEN1,2026-05-06
2026-05-06,26APR10CLEATL,James Harden,CLE,ATL,0,COMBO,TD,0.0,0.3,0.02,20p/5r/5a,0.0,0.28,NO,0.25,1.0,114.9,2,KXNBA3D-26APR10CLEATL-CLEJHARDEN1,2026-05-06
2026-05-06,26APR29HOULAL,Amen Thompson,HOU,LAL,0,COMBO,DD,0.0,0.01,0.289,16p/8r/4a,0.0,0.279,YES,0.141,5.0,99.8,7,KXNBA2D-26APR29HOULAL-HOUATHOMPSON1,2026-05-06
2026-05-06,26APR29TORCLE,Scottie Barnes,TOR,CLE,0,COMBO,TD,0.0,0.28,0.012,17p/3r/7a,0.0,0.268,NO,0.25,3.0,112.8,8,KXNBA3D-26APR29TORCLE-TORSBARNES4,2026-05-06
2026-05-06,26MAY04MINSAS,Stephon Castle,SAS,MIN,1,COMBO,DD,0.0,0.01,0.278,18p/5r/7a,0.0,0.268,YES,0.1354,2.0,113.9,2,KXNBA2D-26MAY04MINSAS-SASSCASTLE5,2026-05-06
2026-05-06,26APR19PORSAS,Deni Avdija,POR,SAS,0,COMBO,TD,0.0,0.28,0.014,21p/6r/5a,0.0,0.266,NO,0.25,8.0,108.7,6,KXNBA3D-26APR19PORSAS-PORDAVDIJA8,2026-05-06
2026-05-06,26MAY05CLEDET,James Harden,CLE,DET,0,COMBO,DD,0.0,0.5,0.236,20p/5r/5a,0.0,0.264,NO,0.25,1.0,101.6,2,KXNBA2D-26MAY05CLEDET-CLEJHARDEN1,2026-05-06
2026-05-06,26MAY06PHINYK,Karl-Anthony Towns,NYK,PHI,1,COMBO,DD,0.0,0.64,0.378,14p/11r/4a,0.0,0.262,NO,0.2047,2.0,105.9,2,KXNBA2D-26MAY06PHINYK-NYKKTOWNS32,2026-05-06
2026-05-06,26APR10MINHOU,Alperen Sengun,HOU,MIN,1,COMBO,TD,0.0,0.27,0.015,20p/9r/4a,0.0,0.255,NO,0.25,5.0,113.9,7,KXNBA3D-26APR10MINHOU-HOUASENGUN28,2026-05-06
2026-05-06,26APR29ORLDET,Ausar Thompson,DET,ORL,1,COMBO,DD,0.0,0.35,0.11,9p/6r/3a,0.0,0.24,NO,0.25,1.0,104.4,2,KXNBA2D-26APR29ORLDET-DETATHOMPSON9,2026-05-06
2026-05-06,26MAY03TORCLE,Evan Mobley,CLE,TOR,1,COMBO,DD,0.0,0.01,0.25,15p/8r/2a,0.0,0.24,YES,0.121,1.0,109.1,2,KXNBA2D-26MAY03TORCLE-CLEEMOBLEY4,2026-05-06
2026-05-06,26APR05UTAOKC,Shai Gilgeous-Alexander,OKC,UTA,1,COMBO,TD,0.0,0.25,0.01,28p/4r/6a,0.0,0.24,NO,0.25,1.0,134.0,2,KXNBA3D-26APR05UTAOKC-OKCSGILGEOUSALEXANDER2,2026-05-06
2026-05-06,26APR23DENMIN,Anthony Edwards,MIN,DEN,1,COMBO,TD,0.0,0.24,0.003,21p/5r/3a,0.0,0.237,NO,0.25,2.0,117.2,2,KXNBA3D-26APR23DENMIN-MINAEDWARDS5,2026-05-06
2026-05-06,26MAY06MINSAS,Victor Wembanyama,SAS,MIN,1,COMBO,DD,0.0,0.8,0.568,22p/12r/3a,0.0,0.232,NO,0.1453,2.0,113.9,2,KXNBA2D-26MAY06MINSAS-SASVWEMBANYAMA1,2026-05-06
2026-05-06,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,COMBO,DD,0.0,0.38,0.153,22p/4r/5a,0.0,0.227,NO,0.25,2.0,101.8,2,KXNBA2D-26MAY04PHINYK-PHITMAXEY0,2026-05-06
2026-05-06,26MAY01CLETOR,James Harden,CLE,TOR,0,COMBO,DD,0.0,0.01,0.236,20p/5r/5a,0.0,0.226,YES,0.1142,1.0,109.1,2,KXNBA2D-26MAY01CLETOR-CLEJHARDEN1,2026-05-06
2026-05-06,26MAY03TORCLE,James Harden,CLE,TOR,1,COMBO,DD,0.0,0.01,0.236,20p/5r/5a,0.0,0.226,YES,0.1142,1.0,109.1,2,KXNBA2D-26MAY03TORCLE-CLEJHARDEN1,2026-05-06
2026-05-06,26APR14PORPHX,Deni Avdija,POR,PHX,0,COMBO,TD,0.0,0.24,0.014,21p/6r/5a,0.0,0.226,NO,0.25,8.0,114.2,6,KXNBA3D-26APR14PORPHX-PORDAVDIJA8,2026-05-06
2026-05-06,26MAY07LALOKC,Shai Gilgeous-Alexander,OKC,LAL,1,COMBO,TD,0.0,0.23,0.01,28p/4r/6a,0.0,0.22,NO,0.25,1.0,99.8,2,KXNBA3D-26MAY07LALOKC-OKCSGILGEOUSALEXANDER2,2026-05-06
2026-05-06,26APR07UTANOP,Derik Queen,NOP,UTA,1,COMBO,TD,0.0,0.22,0.001,8p/6r/2a,0.0,0.219,NO,0.25,24.0,134.0,0,KXNBA3D-26APR07UTANOP-NOPDQUEEN22,2026-05-06
2026-05-06,26APR28PHIBOS,Jaylen Brown,BOS,PHI,1,COMBO,DD,0.0,0.01,0.221,25p/6r/4a,0.0,0.211,YES,0.1066,4.0,105.9,8,KXNBA2D-26APR28PHIBOS-BOSJBROWN7,2026-05-06
2026-05-06,26APR08ATLCLE,James Harden,CLE,ATL,1,COMBO,TD,0.0,0.23,0.02,20p/5r/5a,0.0,0.21,NO,0.25,1.0,114.9,2,KXNBA3D-26APR08ATLCLE-CLEJHARDEN1,2026-05-06
2026-05-06,26MAY04PHINYK,Josh Hart,NYK,PHI,1,COMBO,TD,0.0,0.21,0.003,10p/7r/3a,0.0,0.207,NO,0.25,2.0,105.9,2,KXNBA3D-26MAY04PHINYK-NYKJHART3,2026-05-06
