game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,STL,2.0,0.32,0.229,1.0,0.0,0.091,NO,0.1425,4.0,107.4,7,KXNBASTL-26MAY04PHINYK-NYKKTOWNS32-2,2026-05-04
2026-05-04,26MAY04PHINYK,VJ Edgecombe,PHI,NYK,0,PROP,PTS,12.5,0.4509,0.541,13.8,0.0,0.09,YES,0.0824,2.0,102.5,8,PTS-26MAY04PHINYK-VJ Edgecombe-12.5,2026-05-04
2026-05-04,26MAY04PHINYK,Kelly Oubre Jr,PHI,NYK,0,PROP,AST,1.5,0.3742,0.464,1.2,0.0,0.09,YES,0.0716,2.0,102.5,8,AST-26MAY04PHINYK-Kelly Oubre Jr-1.5,2026-05-04
2026-05-04,26MAY04MINSAS,De'Aaron Fox,SAS,MIN,1,PROP,PTS,17.5,0.5022,0.591,20.2,0.0,0.089,YES,0.0897,6.0,116.3,6,PTS-26MAY04MINSAS-De'Aaron Fox-17.5,2026-05-04
2026-05-04,26MAY04PHINYK,Paul George,PHI,NYK,0,PROP,PTS,25.0,0.09,0.178,17.0,0.0,0.088,YES,0.0482,2.0,102.5,8,KXNBAPTS-26MAY04PHINYK-PHIPGEORGE8-25,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,PTS,10.0,0.94,0.852,19.1,0.0,0.088,NO,0.0468,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKKTOWNS32-10,2026-05-04
2026-05-04,26MAY04MINSAS,Stephon Castle,SAS,MIN,1,PROP,AST,10.0,0.25,0.162,7.5,0.0,0.088,NO,0.1757,6.0,116.3,6,KXNBAAST-26MAY04MINSAS-SASSCASTLE5-10,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,COMBO,TD,0.0,0.09,0.002,26p/12r/3a,0.0,0.088,NO,0.25,6.0,116.3,6,KXNBA3D-26MAY04MINSAS-SASVWEMBANYAMA1,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,STL,3.0,0.18,0.093,1.2,0.0,0.087,NO,0.2405,6.0,116.3,6,KXNBASTL-26MAY04MINSAS-SASVWEMBANYAMA1-3,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,AST,10.0,0.16,0.073,6.3,0.0,0.087,NO,0.25,2.0,102.5,8,KXNBAAST-26MAY04PHINYK-PHITMAXEY0-10,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,AST,10.0,0.09,0.003,2.9,0.0,0.087,NO,0.25,6.0,116.3,6,KXNBAAST-26MAY04MINSAS-SASVWEMBANYAMA1-10,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,REB,12.0,0.53,0.444,11.5,0.0,0.086,NO,0.081,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKKTOWNS32-12,2026-05-04
